epoch,acc,parity,deo,dataset,alpha,seed,pretrain_epochs,p_edge,p_feat,lambda_cl_fair,time_sec
351,0.702176034450531,0.022267520427703857,0.008860588073730469,pokec,50,6,200,0.2,0.2,1.0,20.628514289855957
224,0.6865865588188171,0.024594902992248535,0.01755625009536743,pokec,50,7,200,0.2,0.2,1.0,20.855712890625
477,0.6979538798332214,0.0005475282669067383,0.0030399560928344727,pokec,50,8,200,0.2,0.2,1.0,20.91417121887207
388,0.6849626302719116,0.03447875380516052,0.044750750064849854,pokec,50,9,200,0.2,0.2,1.0,21.813546180725098
63,0.6729457378387451,0.041463613510131836,0.054530441761016846,pokec,100,1,200,0.2,0.2,1.0,20.769639253616333
240,0.6820396184921265,0.027133643627166748,0.0006126761436462402,pokec,100,2,200,0.2,0.2,1.0,22.095760345458984
411,0.6859369874000549,0.060929685831069946,0.044703662395477295,pokec,100,3,200,0.2,0.2,1.0,20.722758769989014
88,0.6667749285697937,0.023809850215911865,0.049770236015319824,pokec,100,4,200,0.2,0.2,1.0,20.651881456375122
104,0.6495615243911743,0.009215354919433594,0.0009426474571228027,pokec,100,5,200,0.2,0.2,1.0,20.976734161376953
87,0.6722961664199829,0.030696570873260498,0.042794883251190186,pokec,100,6,200,0.2,0.2,1.0,20.555423259735107
28,0.6748944520950317,0.02060610055923462,0.024743735790252686,pokec,100,7,200,0.2,0.2,1.0,20.637677907943726
921,0.7080220580101013,0.0018617808818817139,0.0065041184425354,pokec,100,8,200,0.2,0.2,1.0,20.94401502609253
291,0.6839882731437683,0.026017457246780396,0.059597015380859375,pokec,100,9,200,0.2,0.2,1.0,20.980236530303955
100,0.6580058336257935,0.02248680591583252,0.044043779373168945,pokec,200,1,200,0.2,0.2,1.0,20.84026002883911
477,0.688535213470459,0.013549089431762695,0.0014610886573791504,pokec,200,2,200,0.2,0.2,1.0,20.847952604293823
320,0.6820396184921265,0.04104575514793396,0.04762578010559082,pokec,200,3,200,0.2,0.2,1.0,21.10020899772644
110,0.6703475117683411,0.024934858083724976,0.039637088775634766,pokec,200,4,200,0.2,0.2,1.0,20.714709281921387
124,0.6547580361366272,0.00044989585876464844,0.0012489557266235352,pokec,200,5,200,0.2,0.2,1.0,20.72559642791748
270,0.6732705235481262,0.026790499687194824,0.030729353427886963,pokec,200,6,200,0.2,0.2,1.0,21.01513147354126
15,0.6852874159812927,0.002038121223449707,0.022976338863372803,pokec,200,7,200,0.2,0.2,1.0,20.877196550369263
843,0.6930821537971497,0.018834590911865234,0.02469658851623535,pokec,200,8,200,0.2,0.2,1.0,20.63752031326294
713,0.6800909042358398,0.03736907243728638,0.056910574436187744,pokec,200,9,200,0.2,0.2,1.0,21.818225622177124
